crate	loc	files	decorative_hits	test_count	pub_fn_count	classification
Omnisystem/src/crates/sylva	3106	8	0	21	33	real-or-minimal
Omnisystem/src/crates/agent-control-ui	93	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/anomaly-detection-advanced	83	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/anomaly-detection-engine	93	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/api-gateway-enterprise	89	5	1	2	1	SCAFFOLD
Omnisystem/src/crates/app-menu	2888	14	0	21	23	real-or-minimal
Omnisystem/src/crates/chart-components	112	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/ci-cd-integration	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/claude-natural-language-interface	83	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/code-generation-assistant	84	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/configuration-manager	105	5	0	0	3	SCAFFOLD
Omnisystem/src/crates/data-serialization	97	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/diagnostic-ai	347	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/documentation-viewer-ui	93	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/environment-builder	97	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/event-processing-engine	96	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/global-failover	347	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/healthcare-ai-engine	347	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/infrastructure-core	439	5	0	8	5	real-or-minimal
Omnisystem/src/crates/infrastructure-database	1384	8	0	8	6	real-or-minimal
Omnisystem/src/crates/intelligent-dashboard-builder	84	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/intelligent-resource-advisor	84	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/intelligent-troubleshooting-engine	83	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/inventory-analytics	348	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/network-management-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/orchestration-engine	1126	9	0	0	8	real-or-minimal
Omnisystem/src/crates/rate-limiting	855	8	0	0	8	real-or-minimal
Omnisystem/src/crates/rbac-authorization-engine	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/reinforcement-learning-optimizer	84	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/resource-optimizer-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/rolling-updates	348	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/android-bridge	2859	14	0	18	93	real-or-minimal
Omnisystem/src/crates/app-manager-api	2971	16	0	40	85	real-or-minimal
Omnisystem/src/crates/app-manager-core	4548	21	0	81	199	real-or-minimal
Omnisystem/src/crates/app-manager-installer	729	8	0	6	17	real-or-minimal
Omnisystem/src/crates/app-manager-repository	801	9	0	9	11	real-or-minimal
Omnisystem/src/crates/app-manager-security	730	8	0	15	33	real-or-minimal
Omnisystem/src/crates/app-manager-omnisystem-integration	657	5	0	5	7	real-or-minimal
Omnisystem/src/crates/app-manager-cli	611	4	0	0	7	real-or-minimal
Omnisystem/src/crates/p2p	933	5	0	7	3	real-or-minimal
Omnisystem/src/crates/dns-router-core	1915	11	0	0	25	SCAFFOLD
Omnisystem/src/crates/infrastructure-storage	1599	8	0	9	3	real-or-minimal
Omnisystem/src/crates/universal-language-layer	1267	7	0	15	61	real-or-minimal
Omnisystem/src/crates/adaptive-protocols	811	7	0	0	6	real-or-minimal
Omnisystem/src/crates/clustering-analysis-engine	83	4	0	1	1	SCAFFOLD
